goals	lda_topics_goals	topic0_contrib_lda_topics_goals	topic1_contrib_lda_topics_goals	topic2_contrib_lda_topics_goals	topic3_contrib_lda_topics_goals	topic4_contrib_lda_topics_goals	topic5_contrib_lda_topics_goals	topic6_contrib_lda_topics_goals	topic7_contrib_lda_topics_goals	topic8_contrib_lda_topics_goals
To see updates about friends and families.	8	0.01279357	0.01118729	0.01081549	0.0186816	0.01168572	0.01675263	0.01851122	0.18960217	0.7099703
To share my life with other	6	0.01952568	0.01707416	0.01650672	0.02851593	0.01783487	0.02556264	0.8175469	0.02627328	0.03115981
See how other people are doing	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.6092088	0.05961192	0.05545349	0.06581504
Stay connected to others	8	0.01952584	0.0170743	0.01650685	0.0285123	0.01783502	0.0255617	0.02824558	0.02628608	0.82045233
Support friends and other people/celebrities that I care about.	7	0.01545875	0.01351785	0.0130686	0.02257339	0.22241811	0.02024351	0.27080786	0.3972276	0.02468432
Catch up with friends	6	0.0195257	0.01707418	0.01650673	0.02851209	0.01783489	0.02556152	0.817552	0.0262733	0.03115958
to see memes	8	0.0264972	0.02317038	0.02240033	0.03869211	0.0242027	0.03469708	0.03832766	0.03565398	0.75635856
To see updates on current trends	0	0.5299452	0.01118752	0.01081572	0.01868199	0.01168597	0.36152437	0.01851397	0.01722624	0.02041909
post picture	0	0.8088126	0.0170741	0.01650666	0.02851982	0.01783481	0.0255614	0.0282434	0.02627319	0.03117394
Keep in touch with my friends( text, view stories)	6			0.37054715	0.13044779		0.01104094	0.4396447	0.01134835	0.01345968
Lead others to believe I’m doing something interesting	5	0.01546066	0.01351952	0.01307021	0.02257619	0.01412186	0.645114	0.02236354	0.02080349	0.2329705
See what others are doing.	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.6092088	0.05961192	0.05545349	0.06581506
Passtime	5	0.0412156	0.03604083	0.03484304	0.06018442	0.03764658	0.60923964	0.05961752	0.0554587	0.06575368
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
contact friends	6	0.01952585	0.01707431	0.01650686	0.02851231	0.01783503	0.02556172	0.81755066	0.0262735	0.03115978
See what people are doing	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.6092086	0.05961192	0.05545349	0.06581525
See things my friends are doing or like	8	0.01545848	0.01351762	0.01306837	0.23087314	0.22241905	0.0202425	0.02237275	0.02080055	0.4412475
support small businesses	6	0.01952844	0.01707657	0.27956533	0.02851609	0.28099683	0.0255651	0.2913198	0.02627698	0.03115487
socialize	5	0.04121288	0.03603846	0.03484074	0.06018045	0.0376441	0.6092654	0.0596136	0.05545504	0.06574933
to know what others are doing these days	8	0.02649814	0.02317122	0.02240112	0.03869348	0.02420356	0.39175	0.03832902	0.03565524	0.3992982
A way to kill time	6	0.01545908	0.01351777	0.01306852	0.02257326	0.01412003	0.02023726	0.8555612	0.02080079	0.0246621
contact friends	6	0.01952585	0.01707431	0.01650686	0.0285123	0.01783503	0.02556171	0.81755066	0.0262735	0.03115974
To stay in touch with friends	7	0.01545851	0.01351764	0.01306839	0.02257304	0.01411989	0.02023707	0.3724976	0.5038483	0.02467956
Overcome my insecurities	8	0.09258676	0.08095923	0.07826836	0.13542865	0.08456699	0.12128577	0.13410461	0.12469065	0.14810891
look at people's posts	3	0.02649742	0.02317036	0.02240032	0.7527177	0.02420268	0.03468803	0.03832763	0.03565395	0.04234195
Try to keep in touch with people that are hard to keep in touch with because of distance and quarantine.	6			0.09837843	0.01004014		0.10143174	0.75078046		0.01096351
To keep in touch with friends	6	0.01545846	0.0135176	0.01306835	0.02257297	0.01411985	0.02023701	0.8555577	0.02080119	0.02466694
Chat with friends	6	0.01952568	0.01707417	0.01650672	0.02851206	0.01783487	0.02556149	0.8175521	0.02627328	0.03115965
chat with my friends	6	0.01952568	0.01707417	0.01650672	0.02851206	0.01783487	0.02556149	0.8175523	0.02627328	0.03115944
Look at makeup looks	3	0.01545846	0.0135176	0.01306835	0.8557724	0.01411985	0.02023701	0.02236035	0.02080053	0.02466546
To see how and what my friends are doing	8	0.01952562	0.01707411	0.01650666	0.02851197	0.01783482	0.02556658	0.02825335	0.02627319	0.8204537
Staying connected to the outside world	8	0.01279452	0.01118812	0.01081629	0.19107352	0.01168662	0.01674958	0.01851484	0.01722228	0.70995426
Entertainmennt	8	0.0926322	0.08100041	0.0783083	0.13538165	0.08460966	0.12130636	0.13408053	0.12469884	0.14798208
connect with friends	2	0.01952562	0.01707412	0.8057844	0.02851198	0.01783482	0.02556142	0.02826015	0.0262732	0.03117428
Find a funny video to make me laugh	2	0.0109128		0.3861902	0.01594382		0.2254933	0.30985376	0.01468374	0.01741224
Make my friends laugh	6	0.01952607	0.01707426	0.01650681	0.02851223	0.01783498	0.02556164	0.81755096	0.02627343	0.0311596
Get career advice/help	0	0.84863	0.01351852	0.01306924	0.02258848	0.01412081	0.02023839	0.02236187	0.02080924	0.02466348
Promotions	0	0.59652334	0.03603866	0.03484094	0.06018079	0.03764431	0.05395299	0.05961393	0.05545536	0.0657497
stay updated on social media trends	7	0.01091287			0.01593506		0.01428602	0.31472877	0.59799063	0.017411
distract myself	2	0.04121214	0.0360378	0.5901609	0.06017936	0.03764341	0.0539517	0.05961252	0.05545404	0.06574814
get in touch with my friends	6	0.01545906	0.01351807	0.01306881	0.02257376	0.01412035	0.02023772	0.62524086	0.25111115	0.0246702
Look at what the people I follow are up to	3	0.02649724	0.02317041	0.02240036	0.7527579	0.02420274	0.03468811	0.03832771	0.035676	0.04227956
Connect with friends	2	0.01952562	0.01707412	0.8057844	0.02851198	0.01783482	0.02556142	0.02826017	0.0262732	0.03117428
Reading friends’ posting	8	0.0195258	0.01707417	0.35641748	0.02851866	0.01783488	0.0255615	0.02825686	0.02627328	0.48053735
pass time	0	0.80884296	0.01707414	0.01650669	0.02851202	0.01783485	0.02556146	0.02824421	0.02627324	0.03115042
to share with my friends	6	0.0264972	0.0231704	0.02240035	0.03870053	0.0242027	0.03468806	0.7523824	0.03565398	0.04230439
To look for amusing comedic content when I am bored.	3	0.01279478	0.01118834	0.18322828	0.70821327	0.01168682	0.01674992	0.01850738	0.01721633	0.02041488
Stay updated with Family	7	0.01545855	0.01351767	0.01306842	0.0225731	0.01411993	0.02023781	0.02236718	0.6325107	0.24614663
Come across funny posts for a laugh	0	0.746168			0.01594206		0.01429363	0.01578706	0.16164078	0.0174305
A way to aimlessly pass time during quarantine	0	0.5909852			0.0159355		0.01428642	0.31796205	0.01468424	0.01741012
Study breaks	1	0.02649845	0.7372529	0.02240139	0.03869394	0.02420399	0.0346897	0.03832947	0.03565566	0.04227454
See friends	8	0.01952562	0.01707411	0.01650666	0.02851196	0.01783482	0.02556615	0.02825322	0.02627319	0.82045424
Texting	8	0.04121388	0.03603933	0.03484159	0.0601819	0.037645	0.05395398	0.05961504	0.05545638	0.62105286
See what others are up to	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.6092077	0.05961192	0.05545349	0.06581615
I use it to see what my close friends post about there lifes.	8			0.2901084	0.01389311		0.01245702	0.01377144	0.01280131	0.6304461
To connect with family/friends	8	0.01545921	0.01351825	0.2823425	0.02257406	0.01412053	0.22848678	0.02237524	0.02080153	0.3803219
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Grow my platform and following	7	0.01952715	0.01707545	0.01650796	0.02851619	0.01783622	0.02556342	0.02824563	0.8155751	0.03115282
Watch what my friends are up to	6	0.0264972	0.0231704	0.02240035	0.03869212	0.02420271	0.3917352	0.39531848	0.03565399	0.04232958
look at makeup videos	3	0.01545852	0.01351764	0.0130684	0.64747125	0.0141199	0.22853845	0.02236043	0.0208006	0.02466481
View friend's stories/ posts	8	0.01545853	0.01351757	0.429515	0.02257856	0.01411982	0.02023796	0.02236799	0.02080049	0.44140407
Try to exercise	3	0.02649809	0.02317116	0.02240108	0.3957306	0.02420351	0.03468922	0.03833386	0.39269853	0.04227396
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Catch up with friends	6	0.0195257	0.01707418	0.01650673	0.02851209	0.01783489	0.02556152	0.8175521	0.0262733	0.03115955
To check-in on my friends and see what they're doing	1	0.01545845	0.48698515	0.01306835	0.02257296	0.01411984	0.02024321	0.02237104	0.02080052	0.3843805
Connect with friends	2	0.01952562	0.01707412	0.8057848	0.02851198	0.01783482	0.02556142	0.02825978	0.0262732	0.03117431
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Connect with friends.	2	0.01952562	0.01707412	0.8057848	0.02851198	0.01783482	0.02556142	0.02825981	0.0262732	0.03117428
I like to stay in the loop	7	0.01952612	0.01707454	0.01650708	0.2916265	0.01783527	0.02556206	0.02824484	0.55246687	0.03115672
See my friends’ posts	8	0.01545844	0.01351755	0.01306831	0.02257484	0.0141198	0.02023933	0.02236586	0.02080045	0.8578554
Food ideas	7	0.02649744	0.0231706	0.02240057	0.03869247	0.02420292	0.39173108	0.03832802	0.392704	0.04227294
Keep up with friends	6	0.01952564	0.01707412	0.01650668	0.028512	0.01783484	0.02556144	0.81755275	0.02627322	0.03115938
Stay in touch with friends	7	0.01545851	0.01351764	0.01306839	0.02257304	0.01411989	0.02023707	0.3726236	0.50372237	0.02467955
To express my thoughts to friends	6	0.01952724	0.01707553	0.01650804	0.02851434	0.0178363	0.02556354	0.5544603	0.28933802	0.03117674
Check my feed	3	0.02649737	0.3802218	0.02240048	0.39573425	0.02420286	0.03468828	0.03832791	0.03565421	0.04227282
connect with friends	2	0.01952562	0.01707412	0.80578434	0.02851198	0.01783482	0.02556142	0.02826026	0.0262732	0.03117428
keeping up to date	6	0.01952587	0.01707433	0.01650688	0.02851234	0.01783505	0.02556174	0.81755954	0.02627353	0.03115077
Use it as a pastime when I don't have anything to do.	8	0.01952751	0.01707576	0.01650826	0.02851473	0.01783656	0.02556389	0.02824746	0.02627574	0.82045007
Check people's stories	5	0.01952582	0.28018412	0.01650686	0.02851226	0.017835	0.5517439	0.0282437	0.02627346	0.03117482
To meet new friends mostly in the same school	7	0.01091303			0.01593555		0.01428646	0.01579483	0.60283434	0.31149918
I love the filters provided by Instagram for the photos I uploaded.	2	0.01091326		0.45033517	0.16298324		0.01428731	0.01578569	0.01468451	0.31149966
Find some entertainment/get rid of boredom	3	0.01279402	0.01118764	0.01081582	0.36343715	0.35648695	0.01674885	0.0185062	0.18961242	0.02041096
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Direct Message friends	1	0.01545872	0.48700276	0.01306857	0.02257334	0.01412008	0.02023734	0.02237142	0.02080087	0.38436693
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
connect with friends	2	0.01952562	0.01707412	0.80578333	0.02851198	0.01783482	0.02556142	0.02826126	0.0262732	0.03117428
Find motivation	3	0.38354045	0.02317062	0.02240057	0.39574173	0.02420294	0.0346884	0.03832803	0.03565432	0.04227295
To see what others are doing	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.6092081	0.05961192	0.05545349	0.06581571
entertainment for when I'm bored	3	0.02649762	0.0231707	0.02240064	0.3957168	0.38125733	0.03468855	0.0383282	0.03565448	0.04228566
Share posts with friends	8	0.01952571	0.01707416	0.01650671	0.0285256	0.01783485	0.02556146	0.02827012	0.02627324	0.82042813
Nature	0	0.59650975	0.03603987	0.03484212	0.06018281	0.03764557	0.0539548	0.05961593	0.05545722	0.06575192
To connect with friends	2	0.01952562	0.01707412	0.8057841	0.02851198	0.01783482	0.02556142	0.02826046	0.0262732	0.03117428
To look for interior design ideas	8	0.01546001	0.01351896	0.01306966	0.02260224	0.01412126	0.02023904	0.02236259	0.22913042	0.64949584
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Demonstrate my latest look	7	0.01952754	0.01707579	0.01650829	0.29164448	0.01783657	0.02556393	0.02824912	0.5524281	0.03116616
entertain	4	0.0412119	0.0360376	0.03483992	0.06017902	0.5929665	0.0539514	0.05961218	0.05545372	0.06574778
See people's stories	5	0.0264972	0.02317038	0.02240038	0.03869211	0.0242027	0.74872386	0.03832766	0.03565398	0.04233174
scroll to catch up on posts	3	0.01952612	0.01707439	0.01650693	0.5546786	0.01783515	0.02556183	0.29134697	0.02627362	0.03119636
Show people what I am up to	1	0.04121185	0.5913554	0.03483987	0.06017894	0.03764321	0.05395132	0.05961812	0.05545365	0.06574768
post pictures to share my life	6	0.45202503			0.01594118		0.01428627	0.45690095	0.01468343	0.01742826
Kill time	6	0.01952679	0.01707441	0.01650695	0.02851247	0.01783513	0.02556186	0.8175578	0.02627366	0.03115092
Promote uc davis field hockey	4	0.01279613	0.01118953	0.01081766	0.01868906	0.7013725	0.18899179	0.01851081	0.01721816	0.02041442
look at fitness routines	7	0.01952581	0.01707427	0.01650682	0.29160905	0.01783499	0.02556166	0.02824369	0.55248034	0.03116337
Keeping in touch with friends and families	6	0.01091241			0.01593468		0.01428568	0.6545213	0.0146839	0.2609271
To get informed on other’s life events	6	0.01545882	0.01351786	0.01306861	0.02257341	0.01412013	0.28860575	0.34370223	0.26427627	0.02467691
to see recent stories and post from friends	8	0.01279366	0.01118734	0.3178724	0.01868374	0.01168578	0.01675148	0.01851023	0.01721479	0.5753005
the distract myself	2	0.04121214	0.0360378	0.5901609	0.06017936	0.03764341	0.0539517	0.05961252	0.05545404	0.06574814
Look at aesthetically pleasing photos	3	0.01545981	0.01351878	0.01306949	0.8557613	0.01412109	0.02023878	0.0223623	0.02080234	0.02466609
to look for famous people's accounts	3	0.02649722	0.02317039	0.02240034	0.75277615	0.02420272	0.0346892	0.03832768	0.03565673	0.04227953
to look at memes	8	0.01952568	0.01707416	0.01650671	0.02854752	0.01783487	0.02556149	0.02824349	0.02627327	0.8204329
Distraction	8	0.0412125	0.03603812	0.03484042	0.06017989	0.03764374	0.05395218	0.05961304	0.05545452	0.62106556
See what my friends are up to	8	0.01952562	0.01707411	0.01650666	0.02851197	0.01783482	0.0255655	0.02825308	0.02627319	0.820455
keep in touch with friends	6	0.01545846	0.0135176	0.01306835	0.02257297	0.01411985	0.02023701	0.8555577	0.02080119	0.02466694
Interact with my friends.	8	0.019526	0.01707444	0.01650699	0.02851253	0.01783517	0.02556192	0.02825368	0.02627371	0.8204555
Look at new food places to try	2	0.01279376	0.01118742	0.5279891	0.3634566	0.01168586	0.0167507	0.01850717	0.01721554	0.02041393
look at outfit inspo	3	0.01952648	0.01707486	0.0165074	0.29162285	0.01783561	0.28863907	0.02824466	0.28938457	0.03116448
See some bloggers’ lifestyle	5	0.01952718	0.01707547	0.01650798	0.02851425	0.01783628	0.8148571	0.02824567	0.02627529	0.03116074
search for healthy recipies	4	0.01952647	0.01707485	0.01650738	0.02851321	0.80714273	0.02556253	0.0282468	0.02627434	0.03115173
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Catch up with the people I don’t see often	8	0.01952678	0.01707512	0.01650764	0.02851366	0.01783587	0.02556968	0.29136387	0.02627475	0.55733263
look at other people's posts (friends and family)	8	0.01279355	0.01118726	0.01081546	0.01869395	0.01168569	0.01674829	0.01850996	0.01721466	0.8823512
look cool	3	0.0264978	0.0231709	0.02240084	0.3957351	0.02420325	0.03468884	0.03832852	0.39268392	0.04229077
See if there are any life updates on the accounts I follow	5	0.01279358	0.0111873	0.0108155	0.01869178	0.01168573	0.4861361	0.01851421	0.4097545	0.02042131
like other's picture	3	0.01952591	0.01707415	0.0165067	0.81782967	0.01783486	0.02556148	0.02824348	0.02627326	0.03115045
look at pictures of others	3	0.02649774	0.02317038	0.02240034	0.75277954	0.02420271	0.03468807	0.03832767	0.03565399	0.04227951
creativity	1	0.04121221	0.5913579	0.03484018	0.06017947	0.03764348	0.0539518	0.05961262	0.05545414	0.06574826
See memes	8	0.0264972	0.02317038	0.02240033	0.03869211	0.0242027	0.03469702	0.03832766	0.03565398	0.7563586
see what my friends are up to	8	0.01952562	0.01707411	0.01650666	0.02851196	0.01783482	0.02556608	0.02825316	0.02627319	0.8204544
pass time	0	0.80884296	0.01707413	0.01650669	0.02851202	0.01783485	0.02556146	0.02824425	0.02627324	0.03115042
Laugh	0	0.5965043	0.03603792	0.03484024	0.06017956	0.03764354	0.0539519	0.05964002	0.05545423	0.06574837
check out memes	8	0.02649726	0.38021928	0.02240038	0.0386922	0.02420276	0.03468814	0.03832774	0.03565406	0.3993182
Catch up with friends	6	0.0195257	0.01707418	0.01650673	0.02851209	0.01783489	0.02556152	0.8175521	0.0262733	0.03115951
Creative inspiration	7	0.01952623	0.01707442	0.01650696	0.02851249	0.01783514	0.02556188	0.02824393	0.81558514	0.03115382
To view anti diet culture accounts	5	0.01279417	0.01118772	0.01081595	0.01869852	0.01168618	0.8786758	0.01850636	0.01721738	0.0204179
To get inspiration	0	0.8088282	0.0170742	0.01650675	0.02851212	0.01783491	0.02556155	0.02824356	0.02628822	0.03115054
I want to expand my social network.	7	0.01545972	0.0135187	0.01306941	0.0225748	0.014121	0.43682593	0.02236217	0.43739817	0.0246701
To keep up with current friends.	6	0.01952578	0.01707419	0.01650675	0.02851212	0.01783491	0.02556154	0.8175493	0.02627583	0.0311596
Finding dance classes to take	0	0.6403517	0.01351795	0.0130687	0.23087786	0.01412022	0.02023911	0.02236092	0.02080106	0.02466242
receiving memes from my friends	8	0.019526	0.01707445	0.016507	0.02851254	0.01783517	0.02556192	0.02826207	0.28936195	0.5573589
Fashion	1	0.04121234	0.59134686	0.0348399	0.06017899	0.03764318	0.05395138	0.05962591	0.0554537	0.06574774
Stay connected with friends and families from distance.	8			0.14533426	0.0138923		0.01245465	0.01376442	0.01280432	0.7752271
To stay connected with my friends	8	0.01545854	0.01351767	0.01306842	0.02257309	0.01411993	0.02023711	0.02236709	0.02080818	0.8578499
chat with my friends	6	0.01952568	0.01707417	0.01650672	0.02851206	0.01783487	0.02556149	0.81755227	0.02627328	0.03115949
Expand my knowledge	8	0.0265028	0.02317528	0.02240507	0.0387003	0.02420782	0.0346954	0.03833577	0.3927056	0.3992719
Look at things that make me happy.	4	0.1851519	0.01118765	0.01081584	0.19107324	0.52885354	0.01674888	0.01852352	0.01721527	0.02043018
Look at memes	8	0.01952568	0.01707416	0.01650671	0.0285488	0.01783487	0.02556148	0.02824349	0.02627327	0.82043153
like my friends posts	8	0.01952571	0.01707412	0.01650668	0.35834903	0.01783482	0.02556142	0.02826182	0.0262732	0.49061316
To see what other famous people have posted recently	8	0.0195272	0.01707544	0.01650796	0.0285176	0.01783621	0.02556981	0.02825244	0.02627525	0.8204381
Like friends picture	3	0.01952605	0.01707414	0.0165067	0.5547232	0.01783485	0.02556146	0.29131418	0.02627324	0.03118616
View posts from the clubs that I am in and my social school life	8	0.01091271			0.01594142		0.01428797	0.01579251	0.16172078	0.752609
See what other people are doing	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.6091979	0.05961192	0.05545349	0.06582588
Keep in touch with others.	6	0.01952566	0.01707414	0.0165067	0.02851204	0.01783486	0.02556147	0.8175603	0.02627441	0.03115044
Share pictures with followers	3	0.01952607	0.01707429	0.01650684	0.81780875	0.01783507	0.02556168	0.02825386	0.02627347	0.03115999
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
look at my favorite artists accounts	3	0.01279372	0.01118742	0.01081562	0.88063115	0.01168586	0.01675249	0.01850586	0.01721612	0.02041177
Find cool posts	3	0.01952629	0.01707455	0.01650709	0.5546977	0.01783527	0.02556207	0.02824414	0.28935573	0.03119721
Show my friends things I like	4	0.01545854	0.01351774	0.01306842	0.23087423	0.3854839	0.02023711	0.27587608	0.02080064	0.02468335
interacting with others	8	0.0412127	0.0360383	0.0348406	0.06018018	0.03764393	0.05395244	0.05961333	0.0554548	0.62106377
meet new people	7	0.01952594	0.01707434	0.01650691	0.02851236	0.01783508	0.02556176	0.02824547	0.81558746	0.03115079
to see if others are gaining weight too	8	0.01952618	0.01707459	0.01650715	0.02851278	0.01783533	0.02556623	0.02824422	0.02627394	0.8204596
A break from school work	4	0.0195268	0.01707514	0.01650767	0.02855574	0.54400325	0.02556296	0.02824512	0.02627478	0.29424855
see what friends are up to	8	0.01952562	0.01707411	0.01650666	0.02851197	0.01783482	0.02556565	0.02825317	0.02627319	0.8204548
Be up to date with content influencers put out	8	0.22374506	0.01351851	0.22138774	0.0225745	0.01412081	0.02023838	0.23066236	0.02080194	0.2329507
promote self-acceptance	4	0.01952739	0.01707565	0.27962103	0.02851456	0.5440229	0.02556373	0.02824597	0.02627557	0.03115319
look at people's stories	3	0.02649722	0.0231704	0.37940407	0.39572033	0.02420272	0.03469301	0.03832768	0.035654	0.04233062
Sometimes I post things, because it’s fun and feels nice when people like the post.	3	0.13129573			0.387803	0.10895428		0.01095341	0.01018932	0.32786763
To share posts that I enjoy	3	0.01952606	0.0170744	0.01650695	0.81777745	0.01783512	0.02556184	0.02825404	0.02627364	0.0311905
Check their stories	5	0.01952582	0.28018415	0.01650686	0.02851226	0.017835	0.55174387	0.0282437	0.02627346	0.03117483
send pictures	8	0.38353255	0.02317051	0.02240043	0.03870589	0.02420281	0.03468822	0.03832783	0.03565414	0.3993176
Clothing/Outfit inspiration	3	0.01545922	0.01351798	0.01306872	0.43915883	0.01412025	0.02023758	0.02236098	0.43741396	0.02466249
Share my life on instagram story	8	0.01091247			0.0159365		0.0142876	0.3550153	0.01468353	0.5604295
Activism updates	7	0.02649759	0.02317072	0.02240066	0.03869268	0.02420306	0.03469044	0.03832822	0.74974346	0.04227316
Amusement	7	0.04121499	0.0360403	0.03484253	0.06018353	0.03764602	0.05395544	0.05961664	0.6107479	0.0657527
find motivational quotes	1	0.01545859	0.8467057	0.01306846	0.02258694	0.01411996	0.02023717	0.02236053	0.02080069	0.02466199
Find a cute video of a dog to adore	2	0.18518709	0.01118843	0.35554743	0.01869627	0.0116869	0.18916553	0.01850751	0.01721645	0.19280438
Get compliments from my friends	6	0.01952793	0.01707606	0.01650855	0.02851522	0.01783685	0.02556432	0.5543779	0.2894235	0.03116964
Networking	6	0.0412148	0.03604013	0.03484236	0.06018324	0.03764584	0.05395519	0.6149084	0.05545762	0.0657524
Entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.59296775	0.05395122	0.05961198	0.05545354	0.06574756
funny content	2	0.01952581	0.01707426	0.8058104	0.0285146	0.01783498	0.02556512	0.02824366	0.02627342	0.03115778
get island layout ideas for animal crossing	5	0.01091372			0.01593656		0.60235876	0.01578645	0.30882475	0.01744138
keep up with celebrities	6	0.01952586	0.01707431	0.01650686	0.02851232	0.01783503	0.02557936	0.81753474	0.02628081	0.03115075
Share posts that I like	3	0.01952575	0.01707413	0.01650669	0.8177801	0.01783484	0.02556144	0.0282536	0.02627322	0.03119025
Brief entertainment	4	0.02649866	0.02317166	0.02240157	0.03869424	0.7382833	0.03468998	0.03832978	0.03565595	0.04227488
Sharing my daily life	6	0.01545863	0.01351774	0.01306849	0.02257542	0.01412	0.02023788	0.85555375	0.02080075	0.0246673
get updated on what my friends/favorite artists are doing	7				0.3348562		0.01245705	0.1419418	0.4609838	0.0151953
to be creative	7	0.0412127	0.0360383	0.0348406	0.06018018	0.03764393	0.05395244	0.05961333	0.61074495	0.06577352
To see what friends are up to, and if anything important is going on in their lives.	8				0.01389808	0.14531909	0.01245739	0.01377168	0.14094903	0.6477283
Stay updated with Friends	7	0.01545849	0.01351762	0.01306838	0.02257301	0.01411988	0.02023772	0.23455904	0.64177114	0.0246947
To support friends through commenting positive feedback on their posts	4	0.2025189			0.01593792	0.4510636	0.01428627	0.01579703	0.01468408	0.26694393
A way to talk with my friends through Direct Messages and memes	6		0.3602673		0.01231349		0.01103923	0.442148	0.01134663	0.13962168
returning messages	1	0.02649879	0.7372496	0.02240168	0.03869443	0.02420415	0.03469014	0.03832996	0.03565612	0.04227508
See celebrity	5	0.01952566	0.01707414	0.0165067	0.02851203	0.01783485	0.8148691	0.02824454	0.02627456	0.03115839
Sending memes	8	0.01952584	0.01707431	0.01650685	0.02851229	0.01783502	0.0255617	0.02824373	0.28937152	0.5573687
Get inspiration for myself	0	0.80882466	0.0170742	0.01650675	0.02851212	0.01783491	0.02556155	0.02824356	0.02629172	0.03115054
I like to check up on my friends this way.	1	0.01279366	0.38535956	0.01081557	0.19107376	0.01168581	0.01674846	0.3338891	0.01721484	0.02041922
To get insight on latest news	7	0.0127938	0.01118749	0.01081568	0.01868193	0.01168593	0.01674864	0.01850664	0.8791692	0.02041069
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Share my personal advocacy	3	0.01952711	0.35093307	0.01650793	0.4839315	0.01783618	0.02556336	0.02825984	0.0262752	0.03116582
Follow celebrities	7	0.01952574	0.01707421	0.01650676	0.02851412	0.01783493	0.02556742	0.02824601	0.81558025	0.03115056
look at fitness videos	3	0.01952586	0.01707432	0.01650687	0.2916099	0.01783504	0.2886715	0.02824376	0.28936914	0.03116362
Private message people that don't have my cell number (not that close to them)	2	0.01279625	0.183638	0.35561827	0.01868552	0.01168818	0.01675185	0.01850952	0.18956196	0.1927504
Eat healthier	4	0.01952598	0.01707442	0.01650697	0.02851249	0.8071476	0.02556188	0.02824608	0.02627367	0.03115094
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Post new pics	4	0.01952614	0.01707427	0.01650686	0.02852558	0.5440352	0.02556166	0.02824646	0.02627832	0.29424554
To see the latest fashion and beauty trends	6	0.01279404	0.01118757	0.01081574	0.01868203	0.01168599	0.18912482	0.7080585	0.01721972	0.02043163
Check in on the lives of celebrities	5	0.01952569	0.2801811	0.01650672	0.02851207	0.01783488	0.55173784	0.02826447	0.0262754	0.03116182
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
Record my life.	6	0.02649808	0.3801957	0.02240108	0.0386934	0.02420351	0.03469694	0.39536244	0.03565517	0.04229369
I want to see what my friends are doing without texting them	8	0.01091286			0.01593533		0.01428905	0.01578776	0.01468408	0.89965475
See celebrities/accounts that I follow	5	0.0127936	0.01118731	0.01081551	0.01869379	0.01168575	0.6086736	0.01850619	0.28722948	0.0204148
Healthy sweets	4	0.02649773	0.02317084	0.02240079	0.03869288	0.73828775	0.03468875	0.03833318	0.0356547	0.04227338
Share funny posts with friends	8	0.01279382	0.01118748	0.01081568	0.3886505	0.01168591	0.01675181	0.01851786	0.01721499	0.5123819
Stay in touch with family	7	0.01545858	0.0135177	0.01306845	0.02257314	0.01411996	0.02023717	0.02237944	0.6324082	0.24623737
See the celebrities I like and how are they doing	5	0.01545848	0.01351761	0.01306836	0.23087296	0.01411986	0.6451317	0.02236123	0.02080159	0.02466818
See how my friends are doing	8	0.01952562	0.01707411	0.01650666	0.02851197	0.01783482	0.02556614	0.02825335	0.02627319	0.8204542
