goals	lda_topics_goals	topic0_contrib_lda_topics_goals	topic1_contrib_lda_topics_goals	topic2_contrib_lda_topics_goals	topic3_contrib_lda_topics_goals	topic4_contrib_lda_topics_goals	topic5_contrib_lda_topics_goals	topic6_contrib_lda_topics_goals	topic7_contrib_lda_topics_goals	topic8_contrib_lda_topics_goals
Keep up with friends	6	0.01952564	0.01707412	0.01650668	0.028512	0.01783484	0.02556144	0.8175526	0.02627322	0.03115941
stay in touch	7	0.01952573	0.01707421	0.01650676	0.02851214	0.01783492	0.02556156	0.02826008	0.81557053	0.031154
To keep in touch with everyone	6	0.2236939	0.01351844	0.01306916	0.02257438	0.01412073	0.02023827	0.6473191	0.02080274	0.02466333
work out	3	0.04121232	0.03603796	0.03484027	0.6154984	0.03764364	0.05395194	0.05961278	0.05545428	0.06574843
entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
Checking my feed	3	0.02649737	0.3802218	0.02240048	0.39573428	0.02420286	0.03468828	0.0383279	0.03565421	0.04227281
Sending friends funny videos or pictures	5	0.16175629			0.01594078		0.42403743	0.01579244	0.01468352	0.33905444
see people s story / post	8	0.01952567	0.0170741	0.01650668	0.02851535	0.01783482	0.02556766	0.0282434	0.02627319	0.82045907
sending memes	8	0.01952584	0.01707432	0.01650685	0.0285123	0.01783502	0.0255617	0.02824373	0.28937152	0.55736876
answer messages	1	0.02649823	0.38024148	0.37941483	0.03869362	0.02420364	0.03468941	0.03832915	0.03565537	0.04227419
connect with friends	2	0.01952562	0.01707412	0.80578464	0.02851198	0.01783482	0.02556142	0.02825991	0.0262732	0.03117428
get updates on other people around me	7	0.01545877	0.01351786	0.0130686	0.0225734	0.01412012	0.02023789	0.0223654	0.8539956	0.02466227
To relax	5	0.04121241	0.03603804	0.03484035	0.06017976	0.03764367	0.60926986	0.05961292	0.05545441	0.06574858
Check messages from friends	1	0.01545852	0.48713496	0.01306841	0.02257306	0.01411991	0.02023709	0.02237118	0.02080061	0.38423628
share my life	6	0.01952568	0.01707416	0.01650672	0.02851592	0.01783487	0.02556264	0.81754714	0.02627328	0.03115964
Catch up with instagram posts	8	0.01952595	0.01707426	0.01650682	0.02851767	0.01783498	0.02556277	0.2913446	0.02627344	0.55735946
To look for content to keep me interested when I m bored	3	0.01279412	0.01118777	0.18321428	0.32767957	0.01168622	0.01674905	0.19090694	0.01721545	0.22856665
chat with my friends	6	0.01952568	0.01707417	0.01650672	0.02851206	0.01783487	0.02556149	0.81755227	0.02627328	0.03115951
looking up recipes	3	0.0264974	0.02317056	0.0224005	0.39572695	0.02420289	0.03469466	0.39536273	0.03565426	0.04229006
Entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
Family	8	0.04121186	0.03603756	0.03483988	0.06017896	0.03764316	0.05395134	0.05963598	0.05545366	0.6210476
To connect with loved ones	2	0.01952586	0.01707431	0.80582273	0.02851232	0.01783503	0.02556172	0.02824375	0.02627351	0.03115074
Take dance classes	0	0.80883735	0.01707452	0.01650706	0.02851266	0.01783526	0.02556408	0.02824409	0.02627383	0.03115112
see friends posts	8	0.01545844	0.01351755	0.01306831	0.02257484	0.0141198	0.02023932	0.02236583	0.02080045	0.8578555
keep up with people	6	0.04121174	0.03603746	0.03483978	0.06017878	0.03764306	0.0539512	0.61493695	0.05545351	0.06574752
Go on explorer page	4	0.01545853	0.01351766	0.01306841	0.02257477	0.84732056	0.0202371	0.02236045	0.02080062	0.0246619
to relieve boredom	8	0.02650872	0.02318045	0.02241007	0.03870893	0.38151917	0.03470314	0.03834432	0.03566948	0.39895573
let people know what I am up to	5	0.01952596	0.0170744	0.01650695	0.02851246	0.01783513	0.8148766	0.0282439	0.02627365	0.03115091
to keep in touch with friends	6	0.01545846	0.0135176	0.01306835	0.02257297	0.01411985	0.02023701	0.8555576	0.02080119	0.02466695
read messages	1	0.02649734	0.38022077	0.37944373	0.03869231	0.02420283	0.03468824	0.03832786	0.03565416	0.04227276
Stories	2	0.04121176	0.03603747	0.5901052	0.0601788	0.03764306	0.05395885	0.05961196	0.05545352	0.06579938
to help me fall asleep before bed	3	0.01546158	0.01352031	0.01307098	0.855747	0.01412269	0.02024108	0.02236484	0.02080471	0.02466676
As a passtime 	5	0.0412156	0.03604083	0.03484304	0.06018442	0.03764657	0.60923964	0.05961752	0.0554587	0.06575367
communicate with boyfriend	8	0.02649935	0.02317227	0.02240215	0.03869525	0.3812826	0.03469088	0.03833886	0.03565688	0.39926177
see what people are up to	5	0.04121173	0.03603744	0.03483977	0.06017876	0.03764304	0.60920846	0.05961192	0.05545349	0.06581536
checking friends post	1	0.01545853	0.4869703	0.01306834	0.0225781	0.01411984	0.02023699	0.02237102	0.0208005	0.38439637
Be active	6	0.04122589	0.03604983	0.03485174	0.06019945	0.03765598	0.05396972	0.61480474	0.05547255	0.0657701
relationships	5	0.0412142	0.0360396	0.03484186	0.06018237	0.0376453	0.60925287	0.0596155	0.05545682	0.06575144
workouts	7	0.04121198	0.03603766	0.03484001	0.06017912	0.03764326	0.05395149	0.05961228	0.61077636	0.06574788
To connect with people	2	0.04121177	0.03603748	0.5901645	0.06017882	0.03764308	0.05395123	0.05961199	0.05545355	0.06574756
to stay connected	8	0.01952584	0.0170743	0.01650685	0.0285123	0.01783502	0.0255617	0.02824558	0.02628596	0.82045245
bored	3	0.04121227	0.03603785	0.03484016	0.6154763	0.03764346	0.05395178	0.0596126	0.05545412	0.06577147
Learn from others	4	0.0412118	0.03603751	0.03483985	0.06017888	0.59296745	0.05395128	0.05961204	0.0554536	0.06574762
Catch up with friends	6	0.0195257	0.01707418	0.01650673	0.02851209	0.01783489	0.02556152	0.817552	0.0262733	0.03115956
Entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
View body positive posts	3	0.01545923	0.0135181	0.01306887	0.647466	0.22239548	0.02023853	0.02236118	0.0208013	0.0246913
connect with friends	2	0.01952562	0.01707412	0.805784	0.02851198	0.01783482	0.02556142	0.02826057	0.0262732	0.03117428
Watch stories	5	0.01952566	0.01707414	0.01650672	0.02851203	0.01783485	0.81486446	0.02824346	0.02627324	0.03116537
Connect with friends	2	0.01952562	0.01707412	0.8057824	0.02851198	0.01783482	0.02556142	0.02826211	0.0262732	0.03117429
Direct message other people	1	0.01952562	0.80639255	0.01650666	0.02851197	0.01783482	0.02556141	0.02824341	0.02627319	0.03115037
stay updated with trends	7	0.2237444	0.01351768	0.01306843	0.02257311	0.01411994	0.02023781	0.02237167	0.64570224	0.02466468
To distract myself as a mental break 	4	0.01952645	0.01707484	0.27961186	0.02851319	0.5440405	0.0255625	0.02824462	0.02627432	0.0311517
talk to friends on video call	6	0.01279394	0.01118762	0.01081581	0.01868215	0.01168606	0.18914697	0.7080571	0.01721522	0.0204152
Respond to  Direct Message’s	1	0.01545846	0.8467207	0.01306835	0.02257297	0.01411985	0.02023701	0.02236035	0.02080053	0.0246618
Watching friends’ life	6	0.01952563	0.01707412	0.01650668	0.02851198	0.01783483	0.35428205	0.4888189	0.02627321	0.03117256
keep up to date with friends	6	0.01545856	0.01351768	0.01306843	0.02257311	0.01411994	0.02023713	0.8555574	0.02080065	0.0246671
To inform other of what I was doing	5	0.04121233	0.03603798	0.03484028	0.06017964	0.03764359	0.6092706	0.0596128	0.0554543	0.06574846
friends	6	0.04121171	0.03603745	0.03483978	0.06017874	0.03764303	0.05395115	0.61484534	0.05545347	0.0658393
share my thoughts	6	0.02649808	0.02317116	0.02240109	0.03870189	0.02420351	0.03468922	0.752394	0.03565517	0.04228593
Follow the recent trends	7	0.28262618	0.01707455	0.27959645	0.02852062	0.01783528	0.02556208	0.0282542	0.28937942	0.03115118
keep in touch	6	0.01952567	0.01707415	0.0165067	0.02851204	0.01783486	0.02556147	0.81756026	0.02627441	0.03115044
to see a body goal	3	0.01952616	0.01707458	0.01650712	0.55470973	0.01783531	0.28864542	0.02824418	0.02627392	0.03118363
to pass time	0	0.808843	0.01707413	0.01650669	0.02851202	0.01783485	0.02556146	0.02824421	0.02627324	0.03115042
Message people that I do not feel comfortable with having number	8	0.01546057	0.2218654	0.01307013	0.02257606	0.01412178	0.02023977	0.0223634	0.02080337	0.6494996
show my interests	3	0.02649752	0.38021693	0.0224006	0.39573392	0.02420304	0.03468848	0.038332	0.03565442	0.04227306
to talk with friends 	6	0.01952566	0.01707414	0.0165067	0.02851203	0.01783486	0.02556147	0.8175525	0.02627325	0.0311594
check  Direct Messages	1	0.01545843	0.84672093	0.01306832	0.02257292	0.01411982	0.02023697	0.0223603	0.02080049	0.02466174
check updates	1	0.0195258	0.543284	0.01650681	0.02851223	0.01783498	0.02556634	0.02824367	0.28937554	0.03115066
to catch up with friends during quarantine	6	0.01545856	0.01351769	0.01306844	0.02257312	0.01411994	0.02023714	0.8555574	0.02080066	0.02466709
finding new fashion ideas	1	0.01091256	0.5116698	0.3893352	0.01593943		0.01428584	0.01578587	0.0146943	0.01740941
To update myself on popular culture	5	0.0195276	0.28010976	0.01650833	0.02851486	0.01783662	0.5518136	0.02824627	0.02628946	0.03115352
Entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.59296775	0.05395122	0.05961198	0.05545354	0.06574756
Entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
Inspiration	0	0.59652734	0.03603748	0.03483981	0.06017882	0.03764308	0.05395123	0.05961199	0.0554627	0.06574756
To connect with friends 	2	0.01952562	0.01707412	0.805784	0.02851198	0.01783482	0.02556142	0.02826056	0.0262732	0.03117428
To be updated on others  life	5	0.01952574	0.01707421	0.01650677	0.02851215	0.01783493	0.81485206	0.02825527	0.02628118	0.0311576
Recipes for healthy desserts	6	0.01952779	0.017076	0.01650851	0.02851514	0.01783688	0.02556542	0.81754035	0.02627611	0.03115383
Share about my family	8	0.02649733	0.02317052	0.02240047	0.03871448	0.02420282	0.03468824	0.03836852	0.03565416	0.7563034
share with friends my accomplisments	6	0.0195276	0.01707584	0.01650835	0.02851874	0.01783663	0.025564	0.81752354	0.02627586	0.03116946
To find out about trendy shoes and clothes 	3	0.01546027	0.01351918	0.01306988	0.43923604	0.0141215	0.43676257	0.02236297	0.02080296	0.02466468
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
To brag / show off	1	0.02649812	0.7372546	0.02240112	0.03869346	0.02420357	0.03468927	0.03833054	0.03565523	0.04227402
check on friends	1	0.01952565	0.8063019	0.0165067	0.02851201	0.01783484	0.02556145	0.0282799	0.02627323	0.03120431
Share accurate covid-19 information	2	0.22374155	0.0135188	0.6379566	0.02257988	0.0141211	0.0202388	0.02236997	0.02080237	0.02467097
laugh at memes	8	0.38351735	0.02317078	0.02240072	0.03869278	0.02420312	0.03468866	0.0383459	0.0356546	0.39932603
look at peoples post	3	0.02649741	0.02317036	0.02240031	0.7527086	0.02420268	0.03468803	0.03832762	0.03565395	0.04235104
get fit	7	0.026499	0.02317184	0.02240174	0.03869455	0.02420423	0.39168796	0.03833008	0.3927354	0.04227522
keep up to date about friends	6	0.01545856	0.01351768	0.01306843	0.02257311	0.01411994	0.02023713	0.8555574	0.02080065	0.0246671
To view posts 	8	0.02649769	0.02317047	0.33434474	0.03871453	0.0242028	0.03468921	0.03832781	0.03565412	0.4443986
Keep tabs on what my friends and family are doing	6	0.01279488	0.01118844	0.0108166	0.01868352	0.01168692	0.01675006	0.5586973	0.01721648	0.34216583
To entertain me	4	0.0412119	0.0360376	0.03483992	0.06017902	0.5929665	0.0539514	0.05961218	0.05545372	0.06574777
scroll through my feed to see what interests me	3	0.01545858	0.0135177	0.01306845	0.647472	0.01411998	0.22851482	0.02236052	0.02080068	0.02468726
Talk to my friends 	6	0.01952566	0.01707415	0.0165067	0.02851204	0.01783486	0.02556147	0.8175525	0.02627325	0.03115944
Messaged cousins who are across the country or in a different country	7	0.0109139	0.15661792		0.01593684		0.01428762	0.01578927	0.6028385	0.16442071
Watch videos on the explorer page	4	0.01091263	0.15656504		0.01593499	0.45110095	0.30838278	0.0157849	0.01468376	0.01740956
To follow a friend	6	0.02649723	0.02317042	0.02240037	0.03870287	0.02420273	0.0346881	0.39532277	0.39268973	0.04232578
I look for health tips 	3	0.01952676	0.0170751	0.01650763	0.2916284	0.01783586	0.02556291	0.29131973	0.28937855	0.03116504
Follow my friends	6	0.02649723	0.02317042	0.02240037	0.03870287	0.02420273	0.0346881	0.3953176	0.39268973	0.04233096
Check up on friends	1	0.01952564	0.8063019	0.0165067	0.02851201	0.01783484	0.02556145	0.02827996	0.02627323	0.03120431
look at stories	3	0.02649722	0.02317039	0.3794084	0.39572248	0.02420272	0.034693	0.03832768	0.035654	0.0423241
look at new trends 	0	0.6403488	0.0135177	0.01306848	0.23086657	0.01412	0.02023717	0.0223647	0.02080464	0.02467202
art idea	3	0.02649745	0.02317061	0.02240054	0.39573497	0.02420293	0.03468839	0.03832802	0.39270416	0.04227294
Checking up on what my friends are doing	1	0.01952565	0.8063009	0.0165067	0.02851201	0.01783484	0.02556145	0.02828093	0.02627323	0.03120432
exercise movements	7	0.02649784	0.02317094	0.02240088	0.03869305	0.3812545	0.0346889	0.03832859	0.39269176	0.04227357
memes	6	0.04121227	0.03603792	0.03484023	0.06017956	0.03764354	0.05395188	0.614932	0.05545422	0.06574836
makeup looks	3	0.01952599	0.01707443	0.01650698	0.8178232	0.01783516	0.0255619	0.02824395	0.0262737	0.0311547
See what people are up to	5	0.04121172	0.03603744	0.03483977	0.06017876	0.03764304	0.60920763	0.05961192	0.05545348	0.0658162
Make friends 	6	0.02649722	0.0231704	0.02240036	0.03869214	0.02420274	0.03468809	0.7524017	0.03565401	0.04229332
Connect with friends	2	0.01952562	0.01707412	0.8057831	0.02851198	0.01783482	0.02556142	0.02826149	0.0262732	0.03117428
Tattoo inspiration 	0	0.38356453	0.38017884	0.02240146	0.03869406	0.02420392	0.03468981	0.03832959	0.03566314	0.04227468
To see my friends	8	0.01952562	0.01707411	0.01650666	0.02851196	0.01783482	0.02556698	0.02825346	0.02627319	0.8204532
Check stories of friends 	2	0.0154587	0.27628943	0.32612562	0.02257332	0.01412007	0.27754572	0.02238269	0.02080084	0.0247036
 Communicate	4	0.04121201	0.03603771	0.03484001	0.06017918	0.59295285	0.05395154	0.05962494	0.05545387	0.06574794
See celebrities I follow	5	0.01545848	0.01351761	0.01306837	0.02257832	0.01411987	0.6199401	0.02236117	0.25428772	0.02466837
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
be exposed to things I am passionate about	0	0.54564863	0.01707662	0.01650909	0.02851617	0.28100473	0.02556518	0.02824757	0.02627706	0.03115496
connect with others	2	0.04121177	0.03603748	0.5901645	0.06017882	0.03764308	0.05395123	0.05961199	0.05545355	0.06574756
post pictures	0	0.80881286	0.0170741	0.01650666	0.02851982	0.01783481	0.0255614	0.0282434	0.02627318	0.03117371
inspiration	0	0.596527	0.03603748	0.0348398	0.06017882	0.03764308	0.05395122	0.05961198	0.05546306	0.06574756
Inspiration	0	0.59652585	0.03603748	0.0348398	0.06017882	0.03764308	0.05395122	0.05961198	0.05546417	0.06574756
talk to friends	6	0.01952566	0.01707415	0.0165067	0.02851204	0.01783486	0.02556147	0.8175523	0.02627325	0.03115952
read post	8	0.02649764	0.0231705	0.3794444	0.03871055	0.02420283	0.03468824	0.03832786	0.03565416	0.39930388
entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.59296775	0.05395122	0.05961198	0.05545354	0.06574756
Check  Direct Messages from friends	1	0.01091383	0.4871238		0.01593675		0.01428754	0.01579113	0.01468539	0.42206636
To keep in touch with people	6	0.01952566	0.01707414	0.0165067	0.02851204	0.01783486	0.02556147	0.8175603	0.02627441	0.03115044
fashion trends	6	0.01952625	0.01707438	0.01650688	0.02851234	0.01783505	0.02556174	0.81755906	0.02627353	0.03115077
Follow beauty influencers 	8	0.0195269	0.01707523	0.01650775	0.0285218	0.01783599	0.0255631	0.29132208	0.28939578	0.29425132
Communicate with friends 	6	0.01952594	0.0170744	0.01650694	0.02851244	0.01783525	0.02556184	0.8175497	0.02627363	0.03115984
Keep up with friends	6	0.01952564	0.01707412	0.01650668	0.028512	0.01783484	0.02556144	0.8175526	0.02627322	0.03115942
weight loss inspiration	2	0.28263935	0.01707473	0.54269123	0.02851301	0.01783547	0.02556234	0.02824444	0.02627886	0.03116051
I just check it whenI am bored to see what my friends are up to 	8	0.01091326	0.16222169		0.01595026		0.01428807	0.01578876	0.01468459	0.7469592
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
like pictures	3	0.0195262	0.01707415	0.0165067	0.81782943	0.01783486	0.02556148	0.02824348	0.02627326	0.03115045
check if anyone messaged me	1	0.01952789	0.54339796	0.01650858	0.29148737	0.01783689	0.02556438	0.0282467	0.02627625	0.03115399
self entertainment 	4	0.02649772	0.02317083	0.3794328	0.03869286	0.38126063	0.03468874	0.0383284	0.03565468	0.04227336
keeping up with friends	6	0.01952564	0.01707412	0.01650668	0.028512	0.01783484	0.02556144	0.8175526	0.02627322	0.03115941
Send memes	8	0.01952584	0.01707431	0.01650685	0.02851229	0.01783502	0.0255617	0.02824373	0.28937155	0.5573687
See what people have been up to 	5	0.04121173	0.03603745	0.03483977	0.06017876	0.03764304	0.60919416	0.05961193	0.0554535	0.06582968
Gain motivation	8	0.3835504	0.02317099	0.02240092	0.03869313	0.02420334	0.03468897	0.03832866	0.03565492	0.39930868
	8	0.09267835	0.08104224	0.07834887	0.13533206	0.08465296	0.12132724	0.13405734	0.12470571	0.14785522
browse through animal videos	8	0.01545945	0.01351846	0.01306919	0.02257442	0.01412076	0.2465866	0.02236178	0.22908857	0.4232207
To relax	5	0.04121241	0.03603804	0.03484035	0.06017976	0.03764367	0.60926986	0.05961292	0.05545441	0.06574858
To look for an artist s work	3	0.01952575	0.01707422	0.01650678	0.8178259	0.01783495	0.02556159	0.0282436	0.02627337	0.03115378
share my good selfies haha	1	0.01545933	0.8466856	0.0130691	0.02258089	0.01412065	0.02023815	0.02237197	0.0208017	0.02467264
Promote stand-up comedy shows	4	0.01545878	0.01351791	0.01306862	0.02257343	0.84731823	0.02023742	0.02236232	0.02080095	0.0246623
communicating with my friends	6	0.01952594	0.0170744	0.01650694	0.02851244	0.01783522	0.02556184	0.81754977	0.02627363	0.03115983
looking at celebrities posts	3	0.01952587	0.01707417	0.01650673	0.5546762	0.01783489	0.2886542	0.02824785	0.02627857	0.03120156
Entertainment	4	0.04121177	0.03603748	0.0348398	0.06017882	0.5929678	0.05395122	0.05961198	0.05545354	0.06574756
